id,name,city,street,lat,lon,latlon_precision,description,child_of,major_category,categories,citations,notes,founded,alt_address,,
140,African Metals Corporation,"New York, NY",41 Broad St,40.705687,-74.011284,2,"Edgar Sengier's office for handling questions of ore in the Belgian Congo. US subsidary of Union Minière du Haut Katanga. In 1940 shipped 1,200 tons of 65% uranium ore to its warehouse in Staten Island after conversations with President Roosevelt's Advisory Committee on Uranium, chaired by Lyman J. Briggs.",,3,"materials-uranium,foreign,storage,uranium-source",Hewlett NW ch. 3 p. 65,"this date is when they shipped 1,200 tons of uranium ore to the staten island warehouse… which was not a formal involvement, but implied? But Rhodes MAB p. 427 says they shipped it here to get it out of reach of Germany, and then didn't cooperate with US. So maybe find a different date?",1940-06,,,
141,Whitlock Manufacturing Company,"Hartford, CT",97-111 South St,41.735254,-72.675452,2,"Developed and produced nearly five hundred heat exchangers, that cooled the gas coolant, for K-25 and oil cooling units for Y-12.",,3,equipment-CEW,Hewlett NW ch. 5 p. 140; MDH B2V3 p. 8.15,a very cool company,,,,
142,Midwest Piping and Supply,"St. Louis, MO",1450 S. Second St.,38.627,-90.1994,2,"Supplied 6200 tons of process piping for the K-25 gaseous diffusion plant, and installed process piping on a subcontract with the J. A. Jones Construction Company. Produced pre-fabricated piping for Y-12.",,3,equipment-CEW,MDH B2V3 p. 8.19,,,,,
143,J. A. Jones Construction Co. ,"Charlotte, NC",,35.22709,-80.84313,0,"The primary construction contractor for the K-25 and K-27 gaseous diffusion plants, supervised by the Kellex Corporation. Employed around 60 subcontractors. Chosen for its impressive reputation with prior miltary projects. After the war, in 1946, the company was contracted to make ""emergency additions"" to many Clinton Laboratories buildings as focus shifted to nuclear energy. Received the Army-Navy ""E"" Award for ""excellence in war production"" during an Oak Ridge ceremony on September 29, 1945.",,3,"construction-CEW,production-enrichment,E-award",MDH B2V4 p. S1; MDH B4V2P2 p. 2.10; Robinson ORS p. 135,,1943-05-18,"Wainwright Yard, Panama City, Florida; Brunswick Shipward, Brunsick, GA",,
144,"Ford, Bacon & Davis","Monroe, LA",,32.50931,-92.1193,0,"A major construction contractor for K-25, and operated the conditioning plant at K-25 until that responsibility was overtaken by the Carbide and Carbon Chemicals Corporation in May 1945. Received the Army-Navy ""E"" Award for ""excellence in war production"" during an Oak Ridge ceremony on September 29, 1945.",,3,"construction-CEW,production-enrichment,E-award,operation-enrichment",MDH B2V5P1 p. S1; Robinson ORS p. 135,,1943-10-25,,,
145,Bart Laboratories,"Belleville, NJ",227 Main St,40.788392,-74.147752,2,"Produced nickel-plated pipes for K-25 gaseous diffusion plant. Their technique for producing these corrosion-resistant pipes, developed in collaboration with the Republic Steel Company, were used by other companies, including the Midwest Piping and Supply Company and International, to produce pipes for K-25.",,3,equipment-CEW,Hewlett NW ch. 5 p. 140; MDH B2V3 p. J7,,,"40.7842,-74.16934",,
146,Expert Tool and Die Company,"Detroit, MI",Mt. Elliott St & E. McNichols Dr,42.419555,-83.038043,2,"Produced bomb tails, flairing, mounting brackets for Los Alamos.",,3,"research-design, production-design",Jones MAAB ch. 25  p. 508,incomplete source,,,,
147,Muroc Air Force Base,"Edwards, CA",,34.92555,-117.90096,1,Did drop testing of bomb casings.,,1,research-design,,,,,,
148,"Moore School of Electrical Engineering, University of Pennsylvania","Philadelphia, PA",,39.95174,-75.1909,1,"Did calculations on Super ignition (ENIAC). Teller proposed in 1941 the idea of a ""Super"" nuclear bomb that used fusion instead of fission, but calculations in 1950 later proved this unfeasible.",,2,research-other,"wikipedia, https://en.wikipedia.org/wiki/History_of_the_Teller–Ulam_design",need better explanation.. But also not really relevant to bomb project,,,,
149,Monsanto Chemical Company,"Dayton, OH",1515 Nicholas Rd,39.73286,-84.21354,2,"Contracted to produce polonium for initiators. And was the operating contractor at X-10, responsible for operating and maintaining plant equipment and power systems in the X-10 restricted area. Received the Army-Navy ""E"" Award for ""excellence in war production"" during an Oak Ridge ceremony on September 29, 1945.",,3,"materials-other,operation-plutonium,E-award",MDH B1V12P1 p. 12.8; Robinson ORS p. 135,,,"Everett, Mass.; Springfield, Mass.",,
150,Naval Gun Factory,"Washington, DC",,38.87463,-76.99455,1,Manufactured the uranium guns and breech for Little Boy bomb. The final order for the U-235 guns was placed in March 1944 after test guns designed and built by the factory had been extensively studied.,,1,"research-design,production-design",Jones MAAB ch. 25 pp. 505-506,"I believe they designed the test guns in the fall of 1943, but March 1944 is when they got the final gun order",1943,,,
151,Naval Ordnance Plant,"Center Line, MI",,42.48504,-83.0277,0,"Produced target case, adaptor, and suspension lug for Little Boy bomb.",,1,production-design,,Westinghouse Elec. & Mfg. Co. had something to do with this,,,,
152,Victoreen Instrument Co.,"Cleveland, OH",5806 Hough Ave,41.508072,-81.649688,2,Developed radiation detectors,,3,equipment-general,MDH B4V5P3 app. B-3 ,I think these guys produced those yellow civil defense Geiger counters!,,,,
153,General Electric Co.,"Schenectady, NY",1 River Rd,41.14084,-73.26126,0,"Developed huge quantities of instrumentation and other electrical equipment for K-25. Became the operating contractor of Hanford in September 1946, after the war ended and DuPont quit operating the site. After the war, the company also agreed to design and build an government-owned atomic research laboratory in Schenectady, NY.",,3,"equipment-general,operation-plutonium","Hewlett NW ch. 5 p. 149, ch. 17 p. 629; MDH B4V1 p. S3","involvement in y-12 date, possibly sooner but maybe not… ALSO, this location might be of the lab they built in 1946",1943-01-05,"Fairfield, CT?",,
154,Anderson County Board of Education,"Clinton, TN",,36.09974,-84.13414,1,Contracted for education of children of Oak Ridge workers.,,2,operation-service,,include?,,,,
155,Tennessee Eastman Corporation,"Kingsport, TN",,36.53463,-82.55226,1,"Operating contractor for Y-12. Awarded the operating contract after it became apparent that Stone & Webster would be unable to design, construct, and operate the plant by itself. The company also assumed some research responsibility for Y-12, operating a pilot plant in Rochester, NY. Received the Army-Navy ""E"" Award for ""excellence in war production"" during an Oak Ridge ceremony on September 29, 1945.",228,3,"operation-enrichment,research-enrichment,E-award",Hewlett NW ch. 5 p. 148; MDH B5V2 p. S2; Robinson ORS p. 135,,1943-01-06,,,
156,Fercleve Corporation,"Oak Ridge, TN",,36.01036,-84.26964,0,"Operating contractor of S-50 Oak Ridge, a subsidary of H.K. Ferguson Corp. created for the purpose of running the plant. Received the Army-Navy ""E"" Award for ""excellence in war production"" during an Oak Ridge ceremony on September 29, 1945.",157,3,"operation-enrichment,E-award",Jones MAAB ch. 8 p. 180; Robinson ORS p. 135,,1944-07-01,,,
157,H. K. Ferguson Corp.,"Cleveland, OH",Walnut Ave & E. 11th St,41.501829,-81.686883,2,"Planned and constructed the S-50 Liquid Thermal Diffusion plant at Clinton Engineer Works, Oak Ridge. A subsidiary, Fercleve, operated the plant until its shutdown in September 1945. Received the Army-Navy ""E"" Award for ""excellence in war production"" during an Oak Ridge ceremony on September 29, 1945.",,3,"construction-CEW,production-enrichment","Robinson ORS p. 80, 135",location: the ferguson building,,,,
158,Edenfield Electric Co.,"Nashville, TN",303 Eigth Ave South,36.155375,-86.780206,2,"K-25 Conditioning Area subcontractor to Ford, Bacon, & Davis at Oak Ridge. And S-50 subcontractor under H. K. Ferguson Company.",,3,,Robinson ORS p. 80,,,,,
159,Combustion Engineering Corp.,"New York, NY",200 Madison Ave,40.749116,-73.982557,2,"K-25 power house contractor for Oak Ridge, on a prime contract but under the supervision of J. A. Jones Construction. Also supplied steel and built boilers for HEW.",,3,"equipment-CEW,equipment-HEW",need,,,,,
160,W.A. Pope Plumbing Co.,,,,,,K-25 power house contractor for Oak Ridge.,,3,equipment-CEW,,,,,,
161,Skidmore-Owings & Merrill,"Chicago, IL",104 S Michigan Ave,41.880629,-87.624883,2,"Contracted to design housing and other facilities, including schools, stores, and churches, for Oak Ridge workers. Also inspected housing facilities, which were built with the extensive help of subcontractors.Took over this responsibility from Stone & Webster, the main construction contractor for Oak Ridge, on November 21, 1942 in collaboration with the John B. Pierce Foundation.",,3,construction-OR,Hewlett NW ch. 5 pp. 118-119,,1943-02,,,
162,Boston Area Office,"Boston, MA",,42.3600825,-71.0588801,0,"Area office for the Army Corps of Engineers, conducted local arrangements for Manhattan Engineer District. Founded mainly to see that Stone & Webster worked under maximum security on the design and construction of Y-12.",,1,"procurement,coordination-production",Jones MAAB ch. 6 p. 127,I have tried to find the location of this office for OVER AN HOUR. I give up.,1942-08,,,
163,Chicago Area Office,"Chicago, IL",,41.8781136,-87.6297982,0,"Area office for the Army Corps of Engineers, assisted the Los Angeles Area Office in procuring materials for the Los Alamos project.",,1,"procurement,coordination-production",MDH B8V3C1 p. 1.1,probably did other stuff too..,1943-05-01,,,
164,Evergreen Area Office,"Montreal, Quebec, Canada",,45.5016889,-73.567256,0,"Area office for the Army Corps of Engineers, conducted local arrangements for Manhattan Engineer District.",,1,"procurement,coordination-production",,,,,,
165,St. Louis Area Office,"St. Louis, MO",,38.6270025,-90.1994042,0,"Area office for the Army Corps of Engineers, conducted local arrangements for Manhattan Engineer District.",,1,"procurement,coordination-production",,,,,,
166,Trail Area Office,"Trail, British Columbia, Canada",,49.0965676,-117.7117301,0,"Area office for the Army Corps of Engineers, conducted local arrangements for Manhattan Engineer District.",,1,"procurement,coordination-production",,,,,,
167,California Area Office,"Berkeley, CA",,37.8715926,-122.272747,0,"Area office for the Army Corps of Engineers, conducted local arrangements for Manhattan Engineer District.",,1,"procurement,coordination-production",,,,,,
168,Wilmington Area Office,"Wilmington, DE",,39.7390721,-75.5397878,0,Area office for the Army Corps of Engineers. Assissted the Madison Square Area Engineer Office in procuring feed materials and other chemicals for K-25.,,1,"procurement,coordination-production",MDH B2V1 app. B1 ,,,,,
169,Tonawanda Area Office,"Tonawanda, NY",,43.0203347,-78.880315,0,Area office for the Army Corps of Engineers. Assissted the Madison Square Area Engineer Office in procuring feed materials and other chemicals for K-25.,,1,"procurement,coordination-production",MDH B2V1 app. B1 ,,,,,
170,New York Area Office, ,,40.7127837,-74.0059413,0,"Area office for the Army Corps of Engineers. Began to handle the K-25 contract with M. W. Kellog. Handled engineering and design contracts for K-25 with the assistance of the Area Offices in Decatur, Detroit, and Milwaukee. Reported to the K-25 Officer-in-Charge, who in turn reported to the MED District Engineer.",,1,"procurement,coordination-production",MDH B2V3 p. 18.2,"C1, C2 of B2V1 for personnel names.",1943-05-31,,,
171,Beverly Area Office,"Beverly, MA",,42.5584283,-70.880049,0,"Area office for the Army Corps of Engineers, conducted local arrangements for Manhattan Engineer District.",,1,"procurement,coordination-production",,,,,,
172,Ames Area Office,"Ames, IA",,42.034722,-93.62,0,"Area office for the Army Corps of Engineers, conducted local arrangements for Manhattan Engineer District.",,1,"procurement,coordination-production",,,,,,
173,Santa Fe Area Office,"Santa Fe, NM",,35.6869752,-105.937799,0,"Area office for the Army Corps of Engineers, conducted local arrangements for Manhattan Engineer District.",,1,"procurement,coordination-production",,,,,,
174,Milwaukee Area Office,"West Allis, WI",,43.0389025,-87.9064736,0,"Area office for the Army Corps of Engineers. Assisted the New York Area Office in procuring process pumps for K-25, primarily through running the construction program for new Allis-Chalmers pump manufacturing plant.",,1,"procurement,coordination-production","MDH B2V3 p. 18.3; MDH B2V1 p. 8.1, app. B1",,,,,
175,Colorado Area Office,"Grand Junction, CO",,39.0638705,-108.5506486,0,"Area office for the Army Corps of Engineers, conducted local arrangements for Manhattan Engineer District.",,1,"procurement,coordination-production",,,1943-02-23,,,
176,Los Angeles Area Office,"Los Angeles, CA",815 South Hill St,34.044314,-118.256291,2,Area office for the Army Corps of Engineers. Established to help procure materials for the Los Alamos project.,,1,"procurement,coordination-production",MDH B8V3C1 p. 1.1,"was technically the purchasing dept. for university of california? Or is this something else with the same name… also I might have incorrectly added to the New York Area Office and Chicago Area Office when I really meant suboffices of the Purchasing Department, which may or may not have been what this entry is to begin with. CLARIFY",1943-04,,,
177,Columbia Area Office,"New York, NY",,40.7127837,-74.0059413,0,"Area office for the Army Corps of Engineers, conducted local arrangements for Manhattan Engineer District. Handled research and design contracts for K-25, reporting to K-25 Officer-in-Charge.",,1,"procurement,coordination-production","MDH B2V1 p. 8.1, app. B1 ",,,,,
178,Detroit Area Office,"Detroit, MI",,42.331427,-83.0457538,0,"Area office for the Army Corps of Engineers, conducted local arrangements for Manhattan Engineer District. Assisted the New York Area Office in procuring converters for K-25, mainly through administering contracts with the Chrysler Corporation, as well as numerous other contractors.",,1,"procurement,coordination-production",MDH B2V3 p. 18.4,,1943-05,,,
179,Decatur Area Office,"Decatur, IL",,39.8403147,-88.9548001,0,"Area office for the Army Corps of Engineers, conducted local arrangements for Manhattan Engineer District. Assisted the New York Area Office in procuring diffusion barriers for K-25.",,1,"procurement,coordination-production",MDH B2V3 pp. 18.3-18.4,,1943-07-20,,,
180,Rochester Area Office,"Rochester, NY",,43.16103,-77.6109219,0,"Area office for the Army Corps of Engineers, conducted local arrangements for Manhattan Engineer District.",,1,"procurement,coordination-production",,,,,,
181,Murray Hill Area Office,"New York, NY",,40.7127837,-74.0059413,0,"Area office for the Army Corps of Engineers, conducted local arrangements for Manhattan Engineer District.",,1,"procurement,coordination-production",,,,,,
182,Cleveland Area Office,"Cleveland, OH",,41.49932,-81.6943605,0,"Area office for the Army Corps of Engineers, conducted local arrangements for Manhattan Engineer District. Assissted the Madison Square Area Engineer Office in procuring feed materials and other chemicals for K-25.",,1,"procurement,coordination-production",MDH B2V1 app. B1 ,,,,,
183,American Industrial Transit,"Oak Ridge, TN",,,,,Contractor at Oak Ridge. Took over responsibility for the bus system in February 1945.,,3,operation-service,,,1945-02,,,
184,A. S. Schulman Electric Co.,"Chicago, IL",417 S. Dearborn St.,41.876328,-87.629009,2,K-25 power house contractor for Oak Ridge.,,3,construction-CEW,,address in 1920,,,,
185,"Turner-McCoy, Inc.","Little Rock, AR",4407 W. 61st St,34.7464809,-92.2895948,0,"Conditioning Area subcontractor to Ford, Bacon, & Davis at Oak Ridge.",,3,construction-CEW,,might not be historical address,,,,
186,Poe Piping and Heating Co.,"Greenville, SC",112 S. Main Street,,,,Subcontractor to J.A. Jones Construction in building the K-25 Process Area at Oak Ridge.,,3,construction-CEW,Robinson ORS p. 83,,,,,
187,Comstock-Bryant Electric Co.,"High Point, NC",,,,,Subcontractor to J.A. Jones Construction in K-25 Process Area at Oak Ridge.,,3,construction-CEW,Robinson ORS p. 82,,,,,
188,Hercules Powder Co.,"Wilmington, DE",900 Market St,39.745,-75.54705,1,Work related to ordnance of bomb designs. Provided spark-gap detonators.,,3,"research-design,production-design",,,,,,
189,Applied Physics Laboratory,"Silver Spring, MD",,38.99729,-77.02879,1,Constructed models of Fat Man casings.,,2,research-design,,,,,,
190,Philadelphia Navy Yard,"Philadelphia, PA",,39.89346,-75.18445,1,Constructed pilot plant of thermal diffusion method of isotope enrichment.,,1,research-enrichment,,,,,,
191,Franklin Institute,"Newark, DE",,39.67801,-75.7506,1,Studied biomedical effects of radiation on dogs.,,2,research-health,,,,,,
192,University of Washington,"Seattle, WA",,47.68257,-122.263,1,Studied biomedical effects of radiation on fish and fish eggs.,,2,research-health,,,,,,
193,National Cancer Institute,"Bethesa, MD",,39.00427,-77.10091,1,Studied biomedical effects of radiation on animals.,,1,research-health,,,,,,
194,Vitro Manufacturing Co.,"Canonsburg, PA",Stabane Ave,40.255892,-80.19983,2,Processed uranium-containing sludges from the Congo and the Vanadium Corporation of America.,,3,"materials-uranium,uranium-process",Jones MAAB ch. 14 p. 314; Hewlett NW ch. 9 p. 292,,1942,,,
195,"Baker Brothers, Inc.","Toledo, OH",Harleau St & Post St.,41.672517,-83.568771,2,Worked with uranium metal machining.,,3,"materials-uranium,uranium-work",,,,,,
196,Revere Copper & Brass Co.,"Detroit, MI",5851 West Jefferson St,42.301454,-83.092855,2,Worked with uranium metal extrusion. Produced copper bar for Y-12.,,3,"materials-uranium,equipment-CEW,uranium-work",,"Detriot, MI plant.. NY address is in the MDH HEW appendix.. Maybe an office or something?",1943,,,
197,Carborundum Company,"Niagara Falls, NY",Buffalo Ave,43.080269,-79.006961,2,Worked with uranium metal casting.,,3,"materials-uranium,uranium-work",,,1943,,,
198,Campbell Division of American Chain and Cable Co.,"Bridgeport, CT",,41.18655,-73.19518,0,Worked with uranium metal machining.,,3,"materials-uranium,uranium-work",,,,,,
199,Campbell Division of American Chain and Cable Co.,"Wilkes Barre, PA",,41.24591,-75.88131,0,Worked with uranium metal machining.,,3,"materials-uranium,uranium-work",,,,,,
200,William E. Pratt Manufacturing Company,"Joliet, IL",20 Henderson Ave,41.525821,-88.062273,1,"The W.E. Pratt Manufacturing Company performed metal fabrication tasks (machining and grinding) for the University of Chicago Metallurgical Laboratory beginning in the spring of 1943. The purpose of the machining done by Pratt was to speed up delivery of pieces for the experimental pile and to learn all that could be learned about handing uranium metal in turret lathes and automatic screw machines. In 1944, Pratt was subcontracted by the University of Chicago to finish ""short metal rods"" by centerless grinding. This work continued until June 30, 1946. The Manhattan Engineer District History indicates that DuPont placed an order with Pratt to turn and grind unbonded Hanford slugs.",,3,"research-uranium,equipment-general,research-pile",,no sure about tags on this one,1943,,,
201,C. H. Schuman & Co. ,"Sprugate, PA",,41.20332,-77.19452,0,Worked with uranium metal casting.,,3,"materials-uranium,uranium-work",,,,,,
202,McKinney Tool & Manufacturing Co. ,"Cleveland, OH",1688 Arabella Rd,41.55233,-81.562133,2,Worked with uranium metal machining for HEW.,,3,"materials-uranium,uranium-work",MDH B4V5P3 app. B-3,,,,,
203,Quality Hardware and Machine Corporation,"Chicago, IL",5849 Ravenswood Ave.,41.987802,-87.674107,2,Canned a large number of unbonded uranium metal slugs for Hanford.,,3,"materials-uranium,uranium-work",MDH B4V5P3 app. B-3; Hewlett NW ch. 6 p. 225,,,,,
204,Grasselli Chemical Co. ,"Cleveland, OH",,41.49932,-81.69436,0,Worked with uranium metal casting.,76,3,"materials-uranium,uranium-work",,,,"43.031970, -87.931099",,
205,Aluminum Company of America (ALCOA),"New Kensington, PA","9th to 16th St, along Allegheny River",40.569957,-79.771793,1,"Canning of uranium metal slugs in aluminum tubes for Hanford, for which it made innovations such as fluxless welding. Essential aluminum supplier for the war effort.",,3,"materials-other,materials-uranium,uranium-work",Hewlett NW ch. 6 p. 209,,1943,"801 Gulf Tower, Pittsburgh 19, PA.. Alcoa, TN?!; Garwood, NJ 40.651729, -74.326770",,
206,Bell Laboratories,"Murray Hill, NJ",600 Mountain Ave,40.68429,-74.40209,1,Did research on corrosion relating to fluorine and uranium hexafluoride. Produce a nickel powder for element separation barriers in the K-25 design that turned out to be unsatisfactory.,,3,"research-general,materials-other",,,,,,
207,"University of California, Davis","Davis, CA",,38.54,-121.75,1,Did work relating to electromagnetic isotopic separation; also served as overflow for chemistry research at Berkeley.,,2,"research-enrichment,research-general",,,,,,
208,"Eldorado Mining and Refining, Co.","Port Hope, Ontario, Canada",,43.94916,-78.29346,0,"Operated the Port Hope refinery and Great Bear Lake mine in Ontario, a significant source of uranium ore and concrentrates for the Manhattan District. Refined Canadian and Congo ore into black oxide. Was incapable of processing Calorado carnotite concentrates, a responsibility thus handed to Linde Air. Opening the Great Bear Lake mine on an OSRD contract took significant legal maneuvers.",,3,"materials-uranium,uranium-source,uranium-process","Jones MAAB ch. 14 p. 314; Hewlett NW ch. 3 p. 67, ch. 4. p. 85, ch. 9 p. 291",,1941-05,,,
209,Vanadium Corporation of America,"Naturita, CO","Between Highway 141 and San Miguel River, 3 miles northwest of Naturita",38.24529,-108.614095,1,"One of the two companies in the United States to operate vanadium refineries, located on the Colorado Plateau, which produced as a byproduct the only domestic source of uranium oxide. The other company was the United States Vanadium Corporation.",,3,"materials-uranium,uranium-source,uranium-process","Hewlett NW ch. 3 p. 65, ch. 9 p. 292",,,,,
210,Metals Reserve Corporation,"Durango, CO",,37.265979,-107.884865,1,Refined uranium ore.,,3,"materials-uranium,uranium-process",,"this location is USV, metals reserve was some sort of bigger company.. Research this more",,,,
211,Albuquerque Area Office,"Albuquerque, NM",,35.08533,-106.60555,0,"Area office for the Army Corps of Engineers, conducted local arrangements for Manhattan Engineer District. ""Supervision of design and engineering"" at Los Alamos until March 15, 1944, when that responsibility was taken by MED.",,1,coordination-production,MDH B8V1P1 p. S3,aka Albuquerque Operations Office?,1942,,,
212,Union Mines Development Corporation,"New York, NY",,40.71278,-74.00594,0,Aided in Madison Square Area work on uranium surveying. A subsidiary of Union Carbide created to purchase uranium for the Manhattan Engineer District.,,3,"procurement,materials-uranium,uranium-source",need,,,,,
213,Naval Ammunition Depot,"McAlester, OK",,34.9334298,-95.7697131,0,"Loaded ""Pumpkin"" practice bombs, produced non-quality composition B castings.",,1,research-design,,,,,,
214,Naval Ammunition Depot,"Port Chicago, CA",,38.046111,-122.019722,0,"Rendered ""major assistance in the temporary storage and overseas shipment of overseas components.""",,1,"storage,transport",,,,,,
215,Naval Auxiliary Air Station,"Salton Sea, CA",,33.2535325,-115.7101789,0,"Facilities used for bombing tests by Los Alamos and Project Camel. Also known as ""Sandy Beach.""",,1,"research-design,delivery",,,,,,
216,"Naval Office, University of New Mexico","Albuquerque, NM",,35.0843187,-106.6197812,1,"Served as a trans-shipment station for Naval equipment destined for Los Alamos. Shipments were sent to R.J. Workman, head of Section T of the OSRD, at UNM, as a security measure.",,2,transport,,,,,,
217,Naval Mine Depot,"Yorktown, VA",,37.2387556,-76.5096731,0,Produced highly aluminized TNT for used by Los Alamos. Produced 240 shaped castings per day. Looked into quality control of castings. Prepared explosives with slow detonation rates (coordinated work with Bruceton). ,,1,materials-other,,,,,,
218,Naval Station,"Anacostia, MD",,38.8665013,-76.9838642,0,Had something to do with Liquid Thermal Diffusion (S-50) plant.,,1,production-enrichment,,,,,,
219,Navy Yard,"Mare Island, CA",,38.0954755,-122.2724704,0,Furnished special tropical packing facilities during spring and early summer of 1945 in connection with shipping materials for the creation of overseas base for delivery of atomic bombs.,,1,transport,,,,,,
220,University of Tennessee,"Knoxville, TN",,35.9544013,-83.9294564,1,Facilities used to train military officers on operating the electromagnetic plant.,,2,,,,,,,
221,Norden Laboratories,"White Plains, NY",,41.0339862,-73.7629097,0,Aided in mechanical and electronic fusing development for bombs (bomb altimeter systems).,,3,"research-design,production-design",,,,,,
222,Lukas-Harold Corp.,"Indianapolis, IN",,39.768403,-86.158068,0,Aided in mechanical and electronic fusing development for bombs (bomb altimeter systems).,,3,"research-design,production-design",,,,,,
223,Salt Wells Pilot Plant,"Inyokern, CA",,35.6468991,-117.8125674,0,Created to manufacture explosive lenses; not quite complete by the end of the war.,,1,research-design,,,,,,
224,West Point Depository,"West Point, NY",,41.396389,-73.982222,1,"Provided 6,000 tons of silver for use as magnets in Y-12 Calutrons.",,1,"storage,materials-silver",Jones MAAB ch. 3 p. 67,,1942-10-30,,,
225,Wright Field,"Dayton, OH",,39.823056,-84.049444,1,"Performed modifications of B-29s for the ""Silverplate"" program. Also produced full-scale models of Fat Man and Thin Man.",,1,"research-design,production-design,delivery",,,,,,
226,Armitage Field,"China Lake, CA",,35.940278,-117.689722,1,Loaded planes for test drops at NOTS Inyokern.,,1,"research-design,delivery",,,,,,
227,Naval Ordnance Test Station,"Inyokern, CA",,35.6468991,-117.8125674,0,"Target area for drop testing of bomb casings, part of Project Camel.",,1,research-design,,,,,,
228,Eastman Kodak,"Rochester, NY",345 State St,43.16103,-77.6109219,0,"Laboratory rented by Tennessee Eastman for pilot plant studies related to electromagnetic enrichment, 1943. The research included ""experimental work on analytical procedures, 'liquid phase' processing (conversion of uranium orange oxide to grey-green salt)..., 'bulk recovery' (treatment of solutions obtained in cleaning units) and sublimation (purification of feed material by vacuum distillation).""",,3,research-enrichment,MDH B5V6 pp. 3.2-3.3 ,,,,,
229,Eaton Canyon Pilot Plant,"Pasadena, CA",,34.1477849,-118.1445155,0,Location of detonator tests and other Project Camel activities.,,1,research-design,,,,,,
230,Babcock and Wilcox Corp,"Barberton, OH",,41.012833,-81.6051221,0,"Contracted to build ""Jumbo"" device",,3,production-design,,,,,,
231,Eichleay Corporation,"Pittsburgh, PA",,40.4406248,-79.9958864,0,"Contracted to transport ""Jumbo"" to New Mexico.",,3,transport,,,,,,
232,Roane-Anderson Co.,"Oak Ridge, TN",,,,,"Subsidiary of Turner Construction created to manage the town facilities, including housing, recreational facilities, food establishments, etc. Managed by Clinton M. Hernandez, the company maintained great disparities in the quality of life and services provided to black and white workers.",233,3,operation-service,"MDH B1V12P1 pp. 8.4-8.5; ""Negroes Live In Modern Hoovervilles in Atom City"" Jan 5, 1946 Chicago Defender",(my birthday),1943-09-23,,,
233,Turner Construction Co.,"New York, NY",,,,,"Contracted to manage the community at Oak Ridge, for which it created a new subsidiary, Roane-Anderson Co. Turner was chosen for their work on many other government and private contracts supporting the war effort.",,3,operation-service,Jones MAAB ch. 22 p. 444,,,,,
234,Hiroshima,"Hiroshima, Japan",,,,1,Target for first use of the atomic bomb. Effects extensively studied in immediate postwar by MED. ,,1,"delivery,other,research-health",,,,,,
235,Nagasaki,"Nagasaki, Japan",,,,1,Location for second use of the atomic bomb. Effects extensively studied in immediate postwar by MED.,,1,"delivery,other, research-health",,,,,,
236,Kokura,"Kokura, Japan",,,,1,"Target for second use of the atomic bomb; obscured by clouds, so secondary target (Nagasaki) used instead. Extensively studied as a bombing target, preserved from conventional bombing for potential use as an atomic bomb target.",,1,other,need,,,,,
237,Kyoto,"Kyoto, Japan",,,,1,"Initial target for first use of the atomic bomb. Extensively studied as a bombing target, preserved from conventional bombing for potential use as an atomic bomb target. Removed from the target list by the Secretary of War. ",,1,other,need,,,,,
238,Niigata,"Niigata, Japan",,,,,"Potential target for the use of the atomic bomb. Extensively studied as a bombing target, preserved from conventional bombing for potential use as an atomic bomb target.",,1,,need,,,,,
239,Blaw-Knox,"Pittsburgh, PA",2077 305 Fifth Avenue,40.440816,-80.00007,2,"Contractor for 100 foot tower at Trinity. Also produced ""small [chemical] reactors"" for Y-12.",,3,"equipment-CEW,construction-LA",,"historic address, Farmers Bank Building",,,,
240,Old Rifle Millsite,"Rifle, CO",,39.52428,-107.78263,,Uranium milling. Not clear if used during war or only postwar. Cited by DOE as wartime source.,,1,"materials-uranium,uranium-source",,,,,,
241,Prefabrication Engineering Company,Portland,,44.621507,-123.9384478,,"Made and installed prefabricated houses in Richland Village for workers at Hanford. Their houses were constructed at a factory in Toledo, Oregon, and once packed with furniture in Portland, were shipped whole to Hanford.",,3,construction-OR,Jones MAAB ch. 26 p. 548; MDH B4V5P1 p. 8.4 ,,,,,
242,Albany Metallurgy Research Center,"Albany, OR",,44.6365107,-123.1059282,,Research into uranium chemistry and metallurgy. Known as the Northwest Electro-development Laboratory from 1943-1945.,,2,research-general,,,,,,
243,Raytheon Manufacturing Company,"Newton, MA",55 Chapel St.,42.36358,-71.20253,2,Produced the low-impedance switches and other parts of the X-Unit of the implosion bomb.,,3,production-design,,,,"Boston, MA?",,
244,Batista Field,Cuba,,22.871667,-82.509444,1,"Served as a destination point for test flights of Silverplate B-29s from Wendover Field, and a training grounds for Silverplate B-29 crews.",,1,"research-design,delivery",,,,,,
245,Federal Prison Industries,"McNeil Island, WA",,47.2074,-122.6823,1,"Source of prison labor. Prisoners worked on farms and orchards at Hanford Village picking vegetables. The 25-acre Columbia Prison Camp at Hanford held people convicted of national defense and military laws who had no more than a year to serve. Contracted through MED directly, over objections of DuPont, who thought convict labor might inversely affect plant morale.",,1,operation-service,wikipedia,prisoners with NATIONAL DEFENSE charges?? Why would you choose these prisoners to work at a top secret military project??,,"1st & Indiana Ave. N. W. Washington, DC",,
246,"Clifton Products, Inc.","Painesville, OH",,41.7244885,-81.245657,0,Produced about 100 lbs of beryllium metal in flake form for the project in early 1944.,,3,materials-other,,,,,,
247,Fanseed Metallurgical Corporation,"North Chicago, IL",,42.325578,-87.8411818,0,Fabricated 600 bricks of beryllium oxide for Los Alamos.,,3,materials-other,,,,,,
